stock_code,code,date_yyyymmdd,engine,A_SIG,B_SIG,C_SIG,target_pct,risk_pct_display,fail_price,engine_code,satellite,yield_to_AB,entry_price,risk_budget,exit_reason
002125.SZ,002125,20220606,C,0,0,1,9.976303317535539,15.03562945368172,10.731,3,1,1,12.63,0.015,MA20破坏
600888.SH,600888,20220606,C,0,0,1,18.55015673981191,8.08618504435995,7.252,3,1,1,7.89,0.015,MA20破坏
000552.SZ,000552,20220608,C,0,0,1,12.490110759493662,12.009501187648464,3.7043999999999997,3,1,1,4.21,0.015,滞败
603299.SH,603299,20220620,B,0,1,0,20.0,7.743913435527505,10.2312,2,0,0,11.09,0.025,首回踩失效
002176.SZ,002176,20220627,B,0,1,0,20.0,9.043043812451968,23.666999999999998,2,0,0,26.02,0.025,首回踩失效
002328.SZ,002328,20220627,C,0,0,1,12.955984323183593,11.577661431064579,5.0666,3,1,1,5.73,0.015,MA20破坏
300547.SZ,300547,20220627,C,0,0,1,14.820359281437112,10.121212121212132,14.5334,3,1,1,16.17,0.015,MA20破坏
300811.SZ,300811,20220627,C,0,0,1,13.113496932515337,11.43859649122807,24.7352,3,1,1,27.93,0.015,滞败
002624.SZ,002624,20220817,A,1,0,0,18.030773037799026,13.86518478580533,12.179462871287127,1,0,0,14.14,0.025,滞败
605090.SH,605090,20220819,A,1,0,0,15.332912479834352,16.304795343271984,19.007180977542934,1,0,0,22.71,0.025,高成熟成本停滞
002412.SZ,002412,20221118,B,0,1,0,15.80049919771795,15.822284908321581,5.9681999999999995,2,0,0,7.09,0.025,滞败
002885.SZ,002885,20230130,C,0,0,1,15.482371173963577,9.68843843843844,24.059,3,1,1,26.64,0.015,MA20破坏
300572.SZ,300572,20230130,A,1,0,0,20.0,11.434774701356964,12.089153253264774,1,0,0,13.65,0.025,趋势破坏
300084.SZ,300084,20230131,C,0,0,1,18.68512110726646,8.027777777777768,4.635400000000001,3,1,1,5.04,0.015,MA20破坏
605020.SH,605020,20230131,C,0,0,1,13.767841538013379,10.8949539828626,28.076999999999998,3,1,1,31.51,0.015,MA20破坏
002104.SZ,002104,20230201,C,0,0,1,17.173087357569177,8.734597156398106,7.7028,3,1,1,8.44,0.015,MA20破坏
603936.SH,603936,20230201,C,0,0,1,15.581628273000447,9.626721763085389,13.122200000000001,3,1,1,14.52,0.015,滞败
001215.SZ,001215,20230202,B,0,1,0,17.551499209071675,14.243797468354435,67.7474,2,0,0,79.0,0.025,滞败
600559.SH,600559,20230202,B,0,1,0,20.0,5.890292313244316,26.0778,2,0,0,27.71,0.025,证明后结构回吐
603717.SH,603717,20230207,B,0,1,0,20.0,8.198473282442741,8.4182,2,0,0,9.17,0.025,证明后结构回吐
001215.SZ,001215,20230210,B,0,1,0,20.0,6.418348623853209,71.4028,2,0,0,76.3,0.025,滞败
000065.SZ,000065,20230213,B,0,1,0,20.0,10.839215686274517,9.094399999999998,2,0,0,10.2,0.025,证明后结构回吐
002139.SZ,002139,20230213,C,0,0,1,20.0,6.343271555197427,11.6228,3,1,1,12.41,0.015,滞败
002915.SZ,002915,20230213,C,0,0,1,15.917490529428074,9.423595994775791,20.8054,3,1,1,22.97,0.015,横盘结构失效
600557.SH,600557,20230213,C,0,0,1,13.541253863834518,11.077260755048279,20.256600000000002,3,1,1,22.78,0.015,MA20破坏
605337.SH,605337,20230213,C,0,0,1,10.740564918110607,13.965745856353596,15.5722,3,1,1,18.1,0.015,滞败
300306.SZ,300306,20230215,C,0,0,1,19.800152749490817,7.575699132111868,9.584399999999999,3,1,1,10.37,0.015,MA20破坏
600756.SH,600756,20230215,C,0,0,1,16.924467657693842,8.862908011869441,15.3566,3,1,1,16.85,0.015,MA20破坏
002870.SZ,002870,20231117,A,1,0,0,20.0,10.985437014775856,32.31228636363636,1,0,0,36.3,0.025,趋势破坏
300562.SZ,300562,20231117,A,1,0,0,16.326792800308837,15.312254100221756,9.815309749784298,1,0,0,11.59,0.025,滞败
603439.SH,603439,20231117,C,0,0,1,20.0,5.985018726591762,17.5714,3,1,1,18.69,0.015,滞败
300514.SZ,300514,20231120,C,0,0,1,18.675936166850985,8.031725888324882,14.4942,3,1,1,15.76,0.015,横盘结构失效
603050.SH,603050,20231120,A,1,0,0,19.313574055042125,12.944263929996602,8.67945688617934,1,0,0,9.97,0.025,滞败
001286.SZ,001286,20240318,A,1,0,0,20.0,12.340160335401261,7.547512195121951,1,0,0,8.61,0.025,高成熟成本停滞
